base_image,variant_file,index,mode,channel,psnr,ssim
rice.png,rice_6_invG.png,6,inv,G,44.814890585094616,0.9975184670099094
rice.png,rice_6_invI.png,6,inv,I,44.85856014493589,0.999330518162972
rice.png,rice_6_invR.png,6,inv,R,44.87992029047391,0.9989920091956002
rice.png,rice_6_invX.png,6,inv,X,44.94644792012697,0.9990223602602544
rice.png,rice_6_normalB.png,6,normal,B,44.77303467766592,0.9992941727230452
rice.png,rice_6_normalG.png,6,normal,G,44.763182831196104,0.9975072924659079
rice.png,rice_6_normalI.png,6,normal,I,44.8404389515834,0.9993354005975921
rice.png,rice_6_normalR.png,6,normal,R,44.73881471046208,0.9989889068005525
rice.png,rice_6_normalX.png,6,normal,X,44.81063615519111,0.9990015145409943
rice.png,rice_7_invB.png,7,inv,B,43.54075194372746,0.9993695465064674
rice.png,rice_7_invG.png,7,inv,G,43.569585964556616,0.9971911688831231
rice.png,rice_7_invI.png,7,inv,I,43.59035096435201,0.9994088837203183
rice.png,rice_7_invR.png,7,inv,R,43.64905518423573,0.9989734611759181
rice.png,rice_7_invX.png,7,inv,X,43.69937116554055,0.999003548802614
rice.png,rice_7_normalB.png,7,normal,B,43.52012680383896,0.9993729079829484
rice.png,rice_7_normalG.png,7,normal,G,43.51147568514946,0.9971785814819114
rice.png,rice_7_normalI.png,7,normal,I,43.57058062262364,0.9994133247397707
rice.png,rice_7_normalR.png,7,normal,R,43.490157275012095,0.9989671044871384
rice.png,rice_7_normalX.png,7,normal,X,43.544564261563494,0.9989720646458632
rice.png,rice_8_invB.png,8,inv,B,42.43957607057939,0.9994947651737317
rice.png,rice_8_invG.png,8,inv,G,42.475173903175296,0.9962883297438424
rice.png,rice_8_invI.png,8,inv,I,42.477838857776135,0.9995339963842452
rice.png,rice_8_invR.png,8,inv,R,42.567426058227525,0.9985042573738091
rice.png,rice_8_invX.png,8,inv,X,42.606784751060275,0.9985344985454694
rice.png,rice_8_normalB.png,8,normal,B,42.41716090390093,0.9994956442652793
